entry_idx,entry_time,entry_price,stop_loss,div_low,div_type,entry_rsi,sl_pct,exit_idx,exit_time,exit_price,exit_reason,bars_held,pnl_pct,win,year
174,2019-01-30 00:00:00+00:00,3422.3922039999998,3346.57008,3349.92,regular,39.09952623618595,2.215471502984987,232,2019-02-08 16:00:00+00:00,3666.09902,take_profit,58,7.120949367379997,True,2019
931,2019-06-05 16:00:00+00:00,7787.71983,7473.53898,7481.02,hidden,37.28347563842015,4.034311157287739,937,2019-06-06 16:00:00+00:00,7469.054856612,stop_loss,6,-4.091890570593374,False,2019
1148,2019-07-11 20:00:00+00:00,11349.695733999999,9717.273,9727.0,hidden,38.59607145044708,14.382964726620747,1177,2019-07-16 16:00:00+00:00,9688.913161999999,stop_loss,29,-14.632837839210397,False,2019
2475,2020-02-18 04:00:00+00:00,9796.454348,9443.21733,9452.67,hidden,43.85178200312503,3.6057639371546206,2484,2020-02-19 20:00:00+00:00,9437.551399602,stop_loss,9,-3.6636004787923233,False,2020
3598,2020-08-23 12:00:00+00:00,11660.24195,11365.43319,11376.81,hidden,47.553856108840606,2.5283245516187587,3610,2020-08-25 12:00:00+00:00,11358.613930086,stop_loss,12,-2.5868075568877895,False,2020
4497,2021-01-20 08:00:00+00:00,34446.825701999995,30389.58,30420.0,hidden,39.104601942049804,11.778286153561105,4506,2021-01-21 20:00:00+00:00,30371.346252,stop_loss,9,-11.831219181868974,False,2021
4716,2021-02-25 20:00:00+00:00,47101.974238,45205.749,45251.0,hidden,37.46528831146116,4.0257871749040195,4718,2021-02-26 04:00:00+00:00,44946.695792,stop_loss,2,-4.57577093289056,False,2021
5182,2021-05-14 12:00:00+00:00,51242.707188,46953.0,47000.0,hidden,42.15237867581364,8.371351599871293,5189,2021-05-15 16:00:00+00:00,46924.828199999996,stop_loss,7,-8.426328788911377,False,2021
5392,2021-06-18 12:00:00+00:00,36376.91306,30969.0,31000.0,regular,33.75960211509185,14.866333080765262,5416,2021-06-22 12:00:00+00:00,30950.418599999997,stop_loss,24,-14.917413280916811,False,2021
5588,2021-07-21 04:00:00+00:00,30836.330703999996,29248.722,29278.0,regular,49.311279551121245,5.1485007060001955,5606,2021-07-24 04:00:00+00:00,33786.2161,take_profit,18,9.566265922869192,True,2021
5680,2021-08-05 12:00:00+00:00,38773.260006,37471.051439999996,37508.56,hidden,46.75185140691737,3.3585222542507127,5689,2021-08-07 00:00:00+00:00,43665.644884,take_profit,9,12.617935343179626,True,2021
